Zip Code,Zip Code Layer: A,Zip Code Layer: B,Zip Code Layer: C,,,,,,TOTAL Zip Codes Grouped,4623
10458,Bronx,Bronx Park and Fordham,-,,Updated: 4/13/21,,,,,
10467,Bronx,Bronx Park and Fordham,-,,,,,,,
10468,Bronx,Bronx Park and Fordham,-,,,,,,,
10499,Bronx,Bronx Park and Fordham,-,,,,,,,
10453,Bronx,Central Bronx,-,,,,,,,
10457,Bronx,Central Bronx,-,,,,,,,
10460,Bronx,Central Bronx,-,,,,,,,
10451,Bronx,High Bridge and Morrisania,-,,,,,,,
10452,Bronx,High Bridge and Morrisania,-,,,,,,,
10456,Bronx,High Bridge and Morrisania,-,,,,,,,
10454,Bronx,Hunts Point and Mott Haven,-,,,,,,,
10455,Bronx,Hunts Point and Mott Haven,-,,,,,,,
10459,Bronx,Hunts Point and Mott Haven,-,,,,,,,
10474,Bronx,Hunts Point and Mott Haven,-,,,,,,,
10463,Bronx,Kingsbridge and Riverdale,-,,,,,,,
10471,Bronx,Kingsbridge and Riverdale,-,,,,,,,
10466,Bronx,Northeast Bronx,-,,,,,,,
10469,Bronx,Northeast Bronx,-,,,,,,,
10470,Bronx,Northeast Bronx,-,,,,,,,
10475,Bronx,Northeast Bronx,-,,,,,,,
10461,Bronx,Southeast Bronx,-,,,,,,,
10462,Bronx,Southeast Bronx,-,,,,,,,
10464,Bronx,Southeast Bronx,-,,,,,,,
10465,Bronx,Southeast Bronx,-,,,,,,,
10472,Bronx,Southeast Bronx,-,,,,,,,
10473,Bronx,Southeast Bronx,-,,,,,,,
11204,Brooklyn,Borough Park,-,,,,,,,
11218,Brooklyn,Borough Park,-,,,,,,,
11219,Brooklyn,Borough Park,-,,,,,,,
11230,Brooklyn,Borough Park,-,,,,,,,
11206,Brooklyn,Bushwick and Williamsburg,-,,,,,,,
11221,Brooklyn,Bushwick and Williamsburg,-,,,,,,,
11237,Brooklyn,Bushwick and Williamsburg,-,,,,,,,
11249,Brooklyn,Bushwick and Williamsburg,-,,,,,,,
11234,Brooklyn,Canarsie and Flatlands,-,,,,,,,
11236,Brooklyn,Canarsie and Flatlands,-,,,,,,,
11239,Brooklyn,Canarsie and Flatlands,-,,,,,,,
11212,Brooklyn,Central Brooklyn,-,,,,,,,
11213,Brooklyn,Central Brooklyn,-,,,,,,,
11216,Brooklyn,Central Brooklyn,-,,,,,,,
11233,Brooklyn,Central Brooklyn,-,,,,,,,
11238,Brooklyn,Central Brooklyn,-,,,,,,,
11240,Brooklyn,Central Brooklyn,-,,,,,,,
11241,Brooklyn,Central Brooklyn,-,,,,,,,
11242,Brooklyn,Central Brooklyn,-,,,,,,,
11244,Brooklyn,Central Brooklyn,-,,,,,,,
11245,Brooklyn,Central Brooklyn,-,,,,,,,
11247,Brooklyn,Central Brooklyn,-,,,,,,,
11248,Brooklyn,Central Brooklyn,-,,,,,,,
11251,Brooklyn,Central Brooklyn,-,,,,,,,
11252,Brooklyn,Central Brooklyn,-,,,,,,,
11254,Brooklyn,Central Brooklyn,-,,,,,,,
11255,Brooklyn,Central Brooklyn,-,,,,,,,
11256,Brooklyn,Central Brooklyn,-,,,,,,,
11207,Brooklyn,East New York and New Lots,-,,,,,,,
11208,Brooklyn,East New York and New Lots,-,,,,,,,
11203,Brooklyn,Flatbush,-,,,,,,,
11210,Brooklyn,Flatbush,-,,,,,,,
11225,Brooklyn,Flatbush,-,,,,,,,
11226,Brooklyn,Flatbush,-,,,,,,,
11211,Brooklyn,Greenpoint,-,,,,,,,
11222,Brooklyn,Greenpoint,-,,,,,,,
11201,Brooklyn,Northwest Brooklyn,-,,,,,,,
11202,Brooklyn,Northwest Brooklyn,-,,,,,,,
11205,Brooklyn,Northwest Brooklyn,-,,,,,,,
11215,Brooklyn,Northwest Brooklyn,-,,,,,,,
11217,Brooklyn,Northwest Brooklyn,-,,,,,,,
11231,Brooklyn,Northwest Brooklyn,-,,,,,,,
11243,Brooklyn,Northwest Brooklyn,-,,,,,,,
11223,Brooklyn,Southern Brooklyn,-,,,,,,,
11224,Brooklyn,Southern Brooklyn,-,,,,,,,
11229,Brooklyn,Southern Brooklyn,-,,,,,,,
11235,Brooklyn,Southern Brooklyn,-,,,,,,,
11209,Brooklyn,Southwest Brooklyn,-,,,,,,,
11214,Brooklyn,Southwest Brooklyn,-,,,,,,,
11228,Brooklyn,Southwest Brooklyn,-,,,,,,,
11220,Brooklyn,Sunset Park,-,,,,,,,
11232,Brooklyn,Sunset Park,-,,,,,,,
00000,EXCLUDE,EXCLUDE,-,,,,,,,
00001,EXCLUDE,EXCLUDE,-,,,,,,,
00004,EXCLUDE,EXCLUDE,-,,,,,,,
10072,EXCLUDE,EXCLUDE,-,,,,,,,
11111,EXCLUDE,EXCLUDE,-,,,,,,,
99999,EXCLUDE,EXCLUDE,-,,,,,,,
XX,EXCLUDE,EXCLUDE,-,,,,,,,
11025,Long Island,Nassau,-,,,,,,,
11027,Long Island,Nassau,-,,,,,,,
11041,Long Island,Nassau,-,,,,,,,
11043,Long Island,Nassau,-,,,,,,,
11044,Long Island,Nassau,-,,,,,,,
11052,Long Island,Nassau,-,,,,,,,
11053,Long Island,Nassau,-,,,,,,,
11054,Long Island,Nassau,-,,,,,,,
11055,Long Island,Nassau,-,,,,,,,
11099,Long Island,Nassau,-,,,,,,,
11535,Long Island,Nassau,-,,,,,,,
11536,Long Island,Nassau,-,,,,,,,
11555,Long Island,Nassau,-,,,,,,,
11556,Long Island,Nassau,-,,,,,,,
11592,Long Island,Nassau,-,,,,,,,
11594,Long Island,Nassau,-,,,,,,,
11595,Long Island,Nassau,-,,,,,,,
11597,Long Island,Nassau,-,,,,,,,
11599,Long Island,Nassau,-,,,,,,,
11736,Long Island,Nassau,-,,,,,,,
11737,Long Island,Nassau,-,,,,,,,
11774,Long Island,Nassau,-,,,,,,,
11815,Long Island,Nassau,-,,,,,,,
11819,Long Island,Nassau,-,,,,,,,
11854,Long Island,Nassau,-,,,,,,,
11855,Long Island,Nassau,-,,,,,,,
11002,Long Island,Nassau County,-,,,,,,,
11003,Long Island,Nassau County,-,,,,,,,
11010,Long Island,Nassau County,-,,,,,,,
11020,Long Island,Nassau County,-,,,,,,,
11021,Long Island,Nassau County,-,,,,,,,
11022,Long Island,Nassau County,-,,,,,,,
11023,Long Island,Nassau County,-,,,,,,,
11024,Long Island,Nassau County,-,,,,,,,
11026,Long Island,Nassau County,-,,,,,,,
11030,Long Island,Nassau County,-,,,,,,,
11040,Long Island,Nassau County,-,,,,,,,
11042,Long Island,Nassau County,-,,,,,,,
11050,Long Island,Nassau County,-,,,,,,,
11051,Long Island,Nassau County,-,,,,,,,
11096,Long Island,Nassau County,-,,,,,,,
11501,Long Island,Nassau County,-,,,,,,,
11507,Long Island,Nassau County,-,,,,,,,
11509,Long Island,Nassau County,-,,,,,,,
11510,Long Island,Nassau County,-,,,,,,,
11514,Long Island,Nassau County,-,,,,,,,
11516,Long Island,Nassau County,-,,,,,,,
11518,Long Island,Nassau County,-,,,,,,,
11520,Long Island,Nassau County,-,,,,,,,
11530,Long Island,Nassau County,-,,,,,,,
11531,Long Island,Nassau County,-,,,,,,,
11542,Long Island,Nassau County,-,,,,,,,
11545,Long Island,Nassau County,-,,,,,,,
11547,Long Island,Nassau County,-,,,,,,,
11548,Long Island,Nassau County,-,,,,,,,
11549,Long Island,Nassau County,-,,,,,,,
11550,Long Island,Nassau County,-,,,,,,,
11551,Long Island,Nassau County,-,,,,,,,
11552,Long Island,Nassau County,-,,,,,,,
11553,Long Island,Nassau County,-,,,,,,,
11554,Long Island,Nassau County,-,,,,,,,
11557,Long Island,Nassau County,-,,,,,,,
11558,Long Island,Nassau County,-,,,,,,,
11559,Long Island,Nassau County,-,,,,,,,
11560,Long Island,Nassau County,-,,,,,,,
11561,Long Island,Nassau County,-,,,,,,,
11563,Long Island,Nassau County,-,,,,,,,
11565,Long Island,Nassau County,-,,,,,,,
11566,Long Island,Nassau County,-,,,,,,,
11568,Long Island,Nassau County,-,,,,,,,
11569,Long Island,Nassau County,-,,,,,,,
11570,Long Island,Nassau County,-,,,,,,,
11571,Long Island,Nassau County,-,,,,,,,
11572,Long Island,Nassau County,-,,,,,,,
11575,Long Island,Nassau County,-,,,,,,,
11576,Long Island,Nassau County,-,,,,,,,
11577,Long Island,Nassau County,-,,,,,,,
11579,Long Island,Nassau County,-,,,,,,,
11580,Long Island,Nassau County,-,,,,,,,
11581,Long Island,Nassau County,-,,,,,,,
11582,Long Island,Nassau County,-,,,,,,,
11589,Long Island,Nassau County,-,,,,,,,
11590,Long Island,Nassau County,-,,,,,,,
11596,Long Island,Nassau County,-,,,,,,,
11598,Long Island,Nassau County,-,,,,,,,
11709,Long Island,Nassau County,-,,,,,,,
11710,Long Island,Nassau County,-,,,,,,,
11714,Long Island,Nassau County,-,,,,,,,
11732,Long Island,Nassau County,-,,,,,,,
11735,Long Island,Nassau County,-,,,,,,,
11753,Long Island,Nassau County,-,,,,,,,
11756,Long Island,Nassau County,-,,,,,,,
11758,Long Island,Nassau County,-,,,,,,,
11762,Long Island,Nassau County,-,,,,,,,
11765,Long Island,Nassau County,-,,,,,,,
11771,Long Island,Nassau County,-,,,,,,,
11773,Long Island,Nassau County,-,,,,,,,
11783,Long Island,Nassau County,-,,,,,,,
11791,Long Island,Nassau County,-,,,,,,,
11793,Long Island,Nassau County,-,,,,,,,
11797,Long Island,Nassau County,-,,,,,,,
